Jan.    :: January
Feb.    :: February
Febr.   :: February
Mar.    :: March
Apr.    :: April
Jun.    :: June
Jul.    :: July
Aug.    :: August
Sep.    :: September
Sept.   :: September
Oct.    :: October
Nov.    :: November
Dec.    :: December

Amb.    :: Ambassador
Br.     :: Brother
Dr.     :: Doctor
Eng.    :: Engineer
Fr.     :: Father
Gov.    :: Governor
Hon.    :: Honorable
Ing.    :: Ingenieur :: Ingeniero
Ir.     :: Ingenieur
Jr.     :: Junior
Messrs. :: Messieurs
Mr.     :: Mister
Mrs.    :: Misses
Ms.
Pres.   :: President
Prof.   :: Professor
Rep.    :: Representative
Rev.    :: Reverend
Sen.    :: Senator
Sr.     :: Senior
St.     :: Saint
Spt.    :: Superintendent
Sup.    :: Superintendent
Supt.   :: Superintendent

Adm.      :: Admiral
Brig.     :: Brigadier
Brig.Gen. :: Brigadier General
Brig.-Gen.:: Brigadier General
Capt.     :: Captain
Cpt.      :: Captain
Col.      :: Colonel
Gen.      :: General
Lt.       :: Lieutenant
Lt.Gen.   :: Lieutenant General
Lt.-Gen.  :: Lieutenant General
Maj.      :: Major
Maj.Gen.  :: Major General
Maj.-Gen. :: Major General
Sgt.      :: Sergeant

Ret.      :: Retired

Co.       :: Company
Corp.     :: Corporation
Inc.      :: Incorporated
LLC       :: Limited Liability Company
Ltd.      :: Limited
N.V.      :: Naamloze vennootschap
S.p.A.    :: Società per Azioni

A.D.    :: anno Domini
a.m.    :: ante meridiem
al.     :: alii
B.C.    :: before Christ
B.S.    :: bullshit
etc.    :: et cetera :: and other things
cf.     :: confer :: compare
ed.     :: editor
e.g.    :: exempli gratia :: for example
et al.  :: et alii :: et aliae :: and others
i.e.    :: id est :: that is
Mt.     :: Mount
p.m.    :: post meridiem
p.s.    :: post scriptum
S.E.    :: standard error
U.K.    :: United Kingdom
U.N.    :: United Nations
vs.     :: versus
yrs.    :: years

B.P.    :: blood pressure
s.c.    :: subcutaneous
s.d.    :: stable disease

art.    :: article
arts.   :: articles
chap.   :: chapter
chaps.  :: chapters
fig.    :: figure
Fig.    :: figure
op.     :: opus
p.      :: page
para.   :: paragraph
paras.  :: paragraphs
pp.     :: pages
No.     :: number
Nos.    :: numbers
sect.   :: section
sects.  :: sections
vol.    :: volume
vols.   :: volumes

Ala.    :: Alabama
Ariz.   :: Arizona
Ark.    :: Arkansas
Calif.  :: California
Colo.   :: Colorado
Conn.   :: Connecticut
D.C.    :: District of Columbia
Del.    :: Delaware
Fla.    :: Florida
Ga.     :: Georgia
Ill.    :: Illinois
Ind.    :: Indiana
Kans.   :: Kansas
Ky.     :: Kentucky
La.     :: Louisiana
Mass.   :: Massachusetts
Md.     :: Maryland
Mich.   :: Michigan
Minn.   :: Minnesota
Miss.   :: Mississippi
Mo.     :: Missouri
Mont.   :: Montana
Nebr.   :: Nebraska
Nev.    :: Nevada
N.C.    :: North Carolina
N.D.    :: North Dakota
N.H.    :: New Hampshire
N.J.    :: New Jersey
N.M.    :: New Mexico
N.Y.    :: New York
Okla.   :: Oklahoma
Ore.    :: Oregon
Pa.     :: Pennsylvania
P.R.    :: Puerto Rico
R.I.    :: Rhode Island
S.C.    :: South Carolina
S.D.    :: South Dakota
Tenn.   :: Tennessee
Tex.    :: Texas
U.S.    :: United States
U.S.A.  :: United States of America
Va.     :: Virginia
V.I.    :: Virgin Islands
Vt.     :: Vermont
Wash.   :: Washington
W.Va.   :: West Virginia
Wis.    :: Wisconsin
Wyo.    :: Wyoming

CA      :: California
GA      :: Georgia
NY      :: New York
TX      :: Texas

